出发poiid,到达poiid,驾车距离,驾车时间,公交距离,公交时间,步行距离,步行时间
10524206,10558946,663,179,NULL,NULL,436,327
10524206,22950745,4123,943,NULL,NULL,3763,2908
10524206,85082,11327,1091,NULL,NULL,7565,5867
10524206,81012,12012,1652,NULL,NULL,7841,5936
22950745,18315111,8045,1250,NULL,NULL,4041,3048
22950745,85138,2464,526,NULL,NULL,972,745
22950745,22950688,6253,1111,NULL,NULL,4536,3434
22950745,10524207,5926,1154,NULL,NULL,4109,3112
22950745,13452352,6919,1021,NULL,NULL,5564,4236
22950745,10758523,7940,1304,NULL,NULL,5573,4212
22950745,22950750,3490,763,NULL,NULL,3704,2794
22950745,81015,6007,1057,NULL,NULL,4206,3219
22950745,85137,4457,1050,NULL,NULL,4196,3194
22950745,82412,4673,1065,NULL,NULL,4414,3322
22950745,81014,12286,1376,NULL,NULL,10557,8061
22950745,31690295,5683,999,NULL,NULL,4076,3074
22950745,85129,7277,1124,NULL,NULL,5389,4088
22950745,30650987,13015,1360,NULL,NULL,10704,8194
22950745,10524250,5852,1307,NULL,NULL,5121,3905
22950745,10558946,6202,1177,NULL,NULL,4177,3150
22950745,10524206,5666,1071,NULL,NULL,3764,2841
22950745,85082,13716,1391,NULL,NULL,10789,8260
22950745,81012,15901,1368,NULL,NULL,10387,7773
10558946,18315111,1330,433,NULL,NULL,203,151
10558946,85138,4666,513,NULL,NULL,3213,2493
10558946,22950688,415,137,NULL,NULL,359,284
10558946,10524207,1240,365,NULL,NULL,697,532
10558946,13452352,2708,558,NULL,NULL,3144,2421
10558946,10758523,3139,758,NULL,NULL,2521,1939
10558946,22950750,6238,551,NULL,NULL,4651,3547
10558946,81015,3052,608,NULL,NULL,2745,2145
10558946,85137,7077,821,NULL,NULL,4083,3175
10558946,82412,4896,600,NULL,NULL,4145,3207
10558946,81014,10142,976,NULL,NULL,7410,5687
10558946,31690295,1277,410,NULL,NULL,821,627
10558946,85129,2738,635,NULL,NULL,2263,1748
10558946,30650987,10142,970,NULL,NULL,7556,5818
10558946,10524250,6102,748,NULL,NULL,4836,3755
10558946,22950745,5813,781,NULL,NULL,4176,3210
10558946,10524206,1647,463,NULL,NULL,436,320
10558946,85082,10843,990,NULL,NULL,7641,5886
10558946,81012,13507,989,NULL,NULL,8051,6123
10524250,18315111,5199,1150,NULL,NULL,4908,3837
10524250,85138,5865,616,NULL,NULL,4775,3757
10524250,22950688,7538,935,NULL,NULL,5119,4037
10524250,10524207,4447,979,NULL,NULL,4166,3281
10524250,13452352,8205,845,NULL,NULL,7761,6082
10524250,10758523,9226,1128,NULL,NULL,7138,5600
10524250,22950750,4818,509,NULL,NULL,2183,1715
10524250,81015,8452,942,NULL,NULL,7362,5820
10524250,85137,1855,483,NULL,NULL,1215,943
10524250,82412,1396,362,NULL,NULL,1033,817
10524250,81014,13572,1200,NULL,NULL,9142,6949
10524250,31690295,6968,823,NULL,NULL,5659,4420
10524250,85129,8563,948,NULL,NULL,6880,5409
10524250,30650987,13572,1198,NULL,NULL,9288,7080
10524250,10558946,5237,1076,NULL,NULL,4832,3780
10524250,22950745,7012,883,NULL,NULL,5125,3993
10524250,10524206,4565,977,NULL,NULL,4398,3480
10524250,85082,14273,1216,NULL,NULL,9374,7148
10524250,81012,8918,1407,NULL,NULL,7733,5935
30650987,18315111,9664,1299,NULL,NULL,7636,5916
30650987,85138,10268,834,NULL,NULL,9775,7695
30650987,22950688,10125,1167,NULL,NULL,7393,5778
30650987,10524207,9095,1350,NULL,NULL,7135,5556
30650987,13452352,12556,1065,NULL,NULL,9184,7195
30650987,10758523,9064,1513,NULL,NULL,8446,6615
30650987,22950750,11739,881,NULL,NULL,10402,8058
30650987,81015,12803,1168,NULL,NULL,9443,7379
30650987,85137,12578,1154,NULL,NULL,9523,7368
30650987,82412,10396,930,NULL,NULL,8975,6802
30650987,81014,0,0,NULL,NULL,146,119
30650987,31690295,11319,1046,NULL,NULL,7907,6179
30650987,85129,12914,1169,NULL,NULL,8628,6688
30650987,10524250,11602,1077,NULL,NULL,9287,7106
30650987,10558946,9888,1106,NULL,NULL,7554,5848
30650987,22950745,11415,1093,NULL,NULL,10722,8317
30650987,10524206,9352,997,NULL,NULL,7479,5838
30650987,85082,467,141,NULL,NULL,235,194
30650987,81012,5884,622,NULL,NULL,7906,5926
85129,18315111,3332,835,NULL,NULL,2320,1805
85129,85138,6261,600,NULL,NULL,4487,3479
85129,22950688,2378,593,NULL,NULL,1937,1496
85129,10524207,3242,768,NULL,NULL,2879,2224
85129,13452352,790,257,NULL,NULL,876,665
